abmf	LES ABYMES                                   	FRANCE                          	298.4725	16.2623	-25	IGN-SGN            
abpo	Antananarivo                                 	Madagascar                      	47.2292	-19.0183	1552.9923	JPL                
ade1	Salisbury                                    	Australia                       	138.6473	-34.729	38.2	NGA                
ade2	Salisbury                                    	Australia                       	138.6473	-34.729	38.2	NGA                
adis	Addis Ababa                                  	ETHIOPIA                        	38.7663	9.0351	2439.154	BKG                
aira	Aira                                         	Japan                           	130.5996	31.8241	314.64	GSI                
ajac	Ajaccio                                      	France                          	8.7626	41.9275	99	IGN                
albh	Victoria                                     	Canada                          	236.5126	48.3898	32	GSC                
algo	ALGONQUIN PARK                               	CANADA                          	281.9286	45.9588	202	NRCan              
alic	Alice Springs                                	Australia                       	133.8855	-23.6701	603.3581	GA                 
alrt	Alert (Ellesmere Island)                     	Canada                          	297.6595	82.4943	78.11	NRCan/GSD          
amc2	Colorado Springs                             	U.S.A.                          	255.4754	38.8031	1912.4898	USNO               
ammn	Amman                                        	Jordan                          	35.88	32.03	1055.83	RJGC               
ankr	Ankara                                       	Turkey                          	32.7586	39.8875	974.8	BKG and GCM        
antc	Los Angeles                                  	Chile                           	288.4679	-37.3387	745.4	G2                 
areq	Arequipa                                     	Peru                            	288.5072	-16.4655	2488.9226	JPL                
artu	Arti                                         	Russian Federation              	58.5605	56.4298	247.511	RDAAC-IRIS         
asc1	Ascension Island                            	Ascension Island                	345.5879	-7.9512	105	  JPL                        
aspa	Pago Pago                                    	U.S.A.                          	189.2776	-14.3261	53.662	NOAA-NGS           
auck	Whangaparaoa Peninsula                       	New Zealand                     	174.8344	-36.6028	132	GNS                
azu1	Azusa                                        	USA                             	242.1	34.13	144.75	UNAVCO             
bahr	Manama                                      	Bahrain                         	50.6081	26.2091	-17.03	  NGA/SNGM                   
baie	BAIE COMEAU                                  	CANADA                          	291.7367	49.1868	27.48	NRCan/GFZ          
bake	BAKER LAKE                                   	CANADA                          	263.9977	64.3178	4.41	NRCan              
bako	Cibinong                                     	Indonesia                       	106.85	-6.49	158.18	BAKOSURTANAL       
bamf	Bamfield                                     	Canada                          	234.8649	48.8353	11.1	GSC                
ban2	Bangalore                                    	India                           	77.5116	13.0343	831.9	GFZ                
barh	Bar Harbor                                   	USA                             	291.7783	44.395	7.4	NOAA-NGS           
bdos	Bridgetown                                   	Barbados                        	300.3909	13.0879	-38.6	NOAA-NGS           
bhr1	Manama                                       	Bahrain                         	50.6081	26.2091	-13.9	NGA                
bhr2	Manama                                       	Bahrain                         	50.6081	26.2091	-13.9	NGA                
bili	Bilibino                                     	Russian Federation              	166.438	68.0761	456.238	RDAAC-IRIS         
bill	Temecula                                     	USA                             	242.94	33.58	470.05	UNAVCO             
bjco	Cotonou                                      	Benin                           	2.45	6.3847	30.6	MCA-Benin          
bjfs	Fangshan                                     	China                           	115.8925	39.6086	87.413	NGCC               
blyt	Blythe                                       	USA                             	245.29	33.61	85.9	USGS               
bogi	Borowa Gora                                  	Poland                          	21.0352	52.475	139.9	IGiK               
bogt	Bogota                                       	Colombia                        	285.9191	4.6401	2576.7782	JPL                
bor1	Borowiec                                     	Poland                          	17.0668	52.1002	124	SRC PAS            
bran	Burbank                                      	USA                             	241.72	34.18	246.25	USGS               
braz	Brasilia                                     	Brazil                          	312.1222	-15.9474	1106.0413	DGFI               
brew	Brewster                                     	USA                             	240.3174	48.1315	238.6273	JPL                
brft	Eusebio                                      	Brazil                          	321.5745	-3.8774	21.7	NOAA-NGS           
brmu	Bermuda                                      	UK                              	295.3037	32.3704	-11.612	NOAA-NGS           
