;ELE;epoch;SVS
259;0.136;720;7
270;0.298;750;7
281;0.46;780;7
292;0.621;810;7
303;0.783;840;7
314;0.945;870;7
325;1.106;900;7
336;1.268;930;7
347;1.43;960;7
358;1.591;990;7
369;1.752;1020;7
380;1.914;1050;7
391;2.075;1080;7
402;2.236;1110;7
413;2.397;1140;7
424;2.559;1170;7
435;2.72;1200;7
446;2.881;1230;7
457;3.043;1260;7
468;3.205;1290;7
479;3.366;1320;7
490;3.528;1350;7
501;3.69;1380;7
512;3.851;1410;7
523;4.012;1440;7
534;4.174;1470;7
545;4.335;1500;7
556;4.496;1530;7
567;4.657;1560;7
578;4.818;1590;7
589;4.98;1620;7
600;5.141;1650;7
611;5.301;1680;7
622;5.462;1710;7
633;5.623;1740;7
645;5.784;1770;7
657;5.945;1800;7
669;6.106;1830;7
681;6.268;1860;7
693;6.429;1890;7
705;6.59;1920;7
717;6.751;1950;7
729;6.912;1980;7
741;7.074;2010;7
753;7.235;2040;7
765;7.396;2070;7
777;7.557;2100;7
789;7.717;2130;7
801;7.878;2160;7
813;8.039;2190;7
825;8.2;2220;7
837;8.361;2250;7
849;8.521;2280;7
861;8.682;2310;7
873;8.843;2340;7
885;9.003;2370;7
897;9.164;2400;7
909;9.325;2430;7
921;9.486;2460;7
933;9.647;2490;7
945;9.808;2520;7
957;9.969;2550;7
969;10.13;2580;7
981;10.29;2610;7
993;10.451;2640;7
1005;10.612;2670;7
1017;10.773;2700;7
1029;10.933;2730;7
1041;11.094;2760;7
1053;11.255;2790;7
1065;11.415;2820;7
1077;11.576;2850;7
1089;11.736;2880;7
1101;11.897;2910;7
1113;12.057;2940;7
1125;12.218;2970;7
1137;12.378;3000;7
1149;12.539;3030;7
1161;12.7;3060;7
1173;12.861;3090;7
1185;13.021;3120;7
1197;13.182;3150;7
1209;13.343;3180;7
1221;13.504;3210;7
1233;13.664;3240;7
1245;13.825;3270;7
1257;13.986;3300;7
1269;14.146;3330;7
1281;14.307;3360;7
1293;14.467;3390;7
1305;14.628;3420;7
1317;14.788;3450;7
1328;14.949;3480;7
1339;15.109;3510;7
1350;15.27;3540;7
1361;15.43;3570;7
1372;15.591;3600;7
1383;15.751;3630;7
1394;15.912;3660;7
1405;16.073;3690;7
1416;16.234;3720;7
1427;16.394;3750;7
1438;16.555;3780;7
1449;16.716;3810;7
1460;16.876;3840;7
1471;17.037;3870;7
1482;17.198;3900;7
1493;17.358;3930;7
1504;17.519;3960;7
1516;17.68;3990;7
1527;17.84;4020;7
1538;18.001;4050;7
1549;18.161;4080;7
1560;18.322;4110;7
1571;18.483;4140;7
1582;18.643;4170;7
1593;18.804;4200;7
1604;18.965;4230;7
1615;19.126;4260;7
1626;19.286;4290;7
1637;19.447;4320;7
1648;19.608;4350;7
1659;19.769;4380;7
1670;19.93;4410;7
1681;20.091;4440;7
1692;20.251;4470;7
1703;20.412;4500;7
1714;20.573;4530;7
1725;20.734;4560;7
1736;20.895;4590;7
1747;21.056;4620;7
1758;21.217;4650;7
1769;21.378;4680;7
1780;21.538;4710;7
1791;21.699;4740;7
1802;21.86;4770;7
1813;22.021;4800;7
1824;22.182;4830;7
1835;22.344;4860;7
1845;22.505;4890;7
1855;22.666;4920;7
1865;22.827;4950;7
1875;22.988;4980;7
1885;23.149;5010;7
1895;23.31;5040;7
1905;23.472;5070;7
1915;23.633;5100;7
1925;23.794;5130;7
1935;23.956;5160;7
1945;24.117;5190;7
1955;24.278;5220;7
1965;24.44;5250;7
1975;24.601;5280;7
1985;24.762;5310;7
1995;24.924;5340;7
2005;25.085;5370;7
2015;25.247;5400;7
2025;25.408;5430;7
2035;25.57;5460;7
2045;25.732;5490;7
2055;25.893;5520;7
2065;26.055;5550;7
2075;26.217;5580;7
2085;26.378;5610;7
2095;26.54;5640;7
2105;26.702;5670;7
2115;26.864;5700;7
2125;27.026;5730;7
2135;27.188;5760;7
2145;27.35;5790;7
2155;27.512;5820;7
2165;27.674;5850;7
2175;27.836;5880;7
2185;27.998;5910;7
2195;28.16;5940;7
2205;28.323;5970;7
2215;28.485;6000;7
2225;28.647;6030;7
2235;28.809;6060;7
2244;28.972;6090;7
2253;29.134;6120;7
2262;29.296;6150;7
2271;29.459;6180;7
2280;29.621;6210;7
2289;29.784;6240;7
2299;29.947;6270;7
2309;30.109;6300;7
2319;30.272;6330;7
2329;30.435;6360;7
2339;30.598;6390;7
2349;30.761;6420;7
2359;30.924;6450;7
2369;31.087;6480;7
2379;31.25;6510;7
2389;31.413;6540;7
2399;31.577;6570;7
2408;31.74;6600;7
2417;31.903;6630;7
2426;32.066;6660;7
2435;32.23;6690;7
2444;32.393;6720;7
2453;32.556;6750;7
2462;32.72;6780;7
2471;32.883;6810;7
2480;33.047;6840;7
2489;33.211;6870;7
2498;33.374;6900;7
2507;33.538;6930;7
2516;33.702;6960;7
2525;33.866;6990;7
2534;34.03;7020;7
