;svs_x;epoch;ele;azi;Islc;Ispb;Vtec1
0;G06;0;58.76;178.699;-102.95293160164319;132.95089546585808;115.73485062107486
1;G06;30;59.018;178.625;-98.43021279209432;-2304.107830384258;-2010.4794158188636
2;G06;90;59.534;178.471;-100.86536455333537;136.18686829404484;119.38534348458616
3;G06;150;60.049;178.308;-98.7635678914459;134.94958457500582;118.84039930033896
4;G06;180;60.306;178.223;-96.51080163662475;134.69261023767308;118.8799356734792
5;G06;210;60.563;178.136;-96.62058656145172;132.3893590008464;117.106413886857
6;G06;240;60.82;178.046;-92.06250069060067;133.46484410506787;118.3172028532257
7;G06;300;61.334;177.86;-99.2191233673759;137.662091177549;122.5671521928773
8;G06;330;61.591;177.763;-92.29643002806742;130.45729285491242;116.40013025096142
9;G06;420;62.36;177.454;-97.19975284172816;135.5206385909956;121.67576305086489
10;G06;450;62.616;177.346;-92.65445378563615;135.51112104001749;121.91540483473398
11;G06;510;63.127;177.119;-97.45485157250161;137.04344933575734;123.78877628243681
12;G06;540;63.382;177.001;-97.56834810642962;135.51112100456177;122.64571580015688
13;G06;570;63.637;176.879;-95.32090435500847;-2302.651642567254;-2088.099440890855
14;G06;600;63.892;176.754;-88.41147272411224;128.56329701925796;116.80904993337566
15;G06;630;64.148;176.63;-90.80274014929702;130.6000563677738;118.88682317921547
16;G06;690;64.658;176.369;-95.60148757966881;133.7218184069449;122.18592912621848
17;G06;750;65.168;176.094;-95.7625764422727;134.69261023767308;123.52529132225655
18;G06;810;65.677;175.802;-93.59011078990076;129.267596997131;118.97529376882889
19;G06;870;66.184;175.493;-89.06401727131754;124.47074314935867;114.96049276968014
20;G06;990;67.194;174.818;-96.27749185206947;131.00931176894602;121.81411062140424
21;G06;1170;68.696;173.642;-87.29199734220127;129.08676320944582;121.16049368792584
22;G06;1440;70.924;171.467;-87.72009376082484;130.35259965233055;123.91235126047272
23;G06;1500;71.412;170.896;-85.47801523692284;128.70606053211932;122.66383141580333
24;G06;1560;71.897;170.287;-90.27909965888522;131.68505902297335;125.81707755538939
25;G06;1710;73.093;168.58;-81.21905879403342;129.38180778614668;124.34418491738549
26;G06;1830;74.032;167.002;-83.73697816536821;126.77399438618536;122.36499986684997
27;G06;1920;74.728;165.686;-86.16010824586817;128.15404161808576;124.07307690082405
28;G06;1980;75.185;164.73;-86.17913490936763;128.03983079361436;124.20039372261985
29;G06;2280;77.364;158.793;-81.71431206780971;126.1077646831361;123.34838672741556
30;G06;2430;78.368;154.931;-86.49363672359546;132.91282519103427;130.4447995153096
31;G06;2790;80.444;142.388;-84.54802628731582;134.43563593579603;132.74552111027168
32;G06;2970;81.208;134.017;-82.41793147351063;132.13238469896933;130.72440595245052
33;G06;3090;81.591;127.673;-80.15640365415857;133.2078697677351;131.9085087431147
34;G06;3210;81.852;120.816;-77.8980133806599;133.75988868176867;132.53427949598841
35;G06;3450;81.957;106.372;-80.18767611388233;128.820271321135;127.66991544195504
36;G06;3990;80.332;78.527;-82.67581205854952;132.94137787942427;131.2309533044928
37;G06;4260;78.842;69.237;-82.72027868357598;134.28335487195656;131.98736502764697
38;G06;4500;77.312;63.144;-82.60053198329867;131.8278225358347;128.91970746955832
39;G06;4710;75.863;59.143;-82.45062857873833;129.2295266868515;125.6976177158156
40;G06;4800;75.22;57.731;-75.4028315728116;128.03983082907007;124.21832492445182
41;G06;4830;75.005;57.282;-80.04070365480825;127.07855651386427;123.17577653950016
42;G06;4860;74.788;56.849;-82.32182007505784;125.69850931741959;121.72679167271798
43;G06;4890;74.571;56.433;-82.30468036394184;127.74478625236922;123.59370967216066
44;G06;4950;74.132;55.646;-82.27125379313095;129.1248334842696;124.68951699318549
45;G06;4980;73.911;55.274;-79.89202322372711;127.74478625236922;123.23522473637802
46;G06;5160;72.571;53.315;-86.63335519452617;128.66799025729554;123.3481053546343
47;G06;5250;71.892;52.491;-84.20946653931288;130.34308206589674;124.53173483326272
48;G06;5340;71.208;51.757;-84.13512944387396;131.72312929779713;125.40474882853253
49;G06;5370;70.979;51.531;-86.418919613958;132.23707790155123;125.7407934249305
50;G06;5400;70.75;51.314;18956.481085216656;-2306.0303789083023;-2190.0410707950514
51;G06;5490;70.063;50.679;-90.96064973468798;134.70212782410687;127.44243301209315
52;G06;5520;69.834;50.483;-90.90990046589053;134.43563593579603;127.02559971155497
53;G06;5640;68.912;49.774;-86.16497379619945;127.85899704138491;120.16377292314671
54;G06;5670;68.681;49.614;-86.12400423782998;130.9046185309084;122.85560447064046
55;G06;5700;68.45;49.46;-88.4106118597028;132.65585088915722;124.32463002656525
56;G06;5760;67.987;49.171;-90.66497319558047;132.61778061433344;123.93396330696055
57;G06;5820;67.524;48.906;-90.57059678637857;134.84489133696823;125.64716218788426
58;G06;5880;67.06;48.663;-90.47416745665892;138.22362767801638;128.41001818456473
59;G06;6000;66.132;48.24;-85.65325971706135;129.1153158978358;119.20799352722626
60;G06;6150;64.973;47.771;-90.10763564281825;130.19080100205727;119.23051446000675
61;G06;6240;64.277;47.541;-90.0031355674373;129.6387820880237;118.1246631836129
62;G06;6330;63.582;47.347;-87.62493870898308;131.27580365725683;118.9942615007862
63;G06;6390;63.119;47.236;-92.215990084715;130.45729289036814;117.83231200451277
64;G06;6480;62.424;47.095;-85.14744103453279;128.03983079361436;115.01800703749122
65;G06;6510;62.193;47.054;-82.81294112875743;131.0188293553798;117.47625724246072
66;G06;6570;61.731;46.983;-85.09135607281473;129.79106318731888;115.93914062502594
67;G06;6600;61.5;46.952;-87.37744820425722;129.89575642535644;115.8119757166378
68;G06;6660;61.04;46.882;-87.35001889428356;132.09431438868984;117.32048092318061
69;G06;6690;60.809;46.852;-87.33262152659164;129.1248334842696;114.45905863880608
70;G06;6750;60.349;46.799;-82.60958857471388;126.26004574697556;111.47885090498649
71;G06;6840;59.66;46.741;-89.45452135796077;133.98831029525576;117.58985385999625
72;G06;6870;59.431;46.727;-87.08298300915912;134.28335487195656;117.6083154095243
73;G06;6930;58.972;46.706;-93.97429106870467;134.80682106214445;117.57820978183635
74;G06;6960;58.743;46.699;-86.90091975960156;-2308.752403132735;-2009.4742262465036
75;G06;6990;58.515;46.694;-89.17796646817452;129.79106315186317;112.72918411051783
76;G06;7050;58.058;46.692;-89.08820224286774;-2307.829199092353;-1995.9118178943538
77;G06;7230;56.692;46.73;-93.41963804430988;132.91282519103427;113.44351578355713
78;G06;7290;56.239;46.748;-91.01328294213434;132.95089546585808;112.96507925536487
79;G06;7320;56.013;46.759;-88.60919239555315;128.14452403165194;108.63348596002028
80;G06;7350;55.786;46.773;-93.23900936785242;130.45729285491242;110.3393992761084
81;G06;7380;55.56;46.788;-95.51321781214035;130.6095739542076;110.21292419968447
82;G06;7410;55.335;46.806;-95.5047537209371;135.21607646331665;113.83553459472635
83;G06;7440;55.109;46.825;-97.78504831350357;137.55739797496713;115.5349148182326
84;G06;7500;54.659;46.869;-90.76259777242149;128.29680513094712;107.24831555907052
85;G06;7530;54.434;46.893;-90.68485767429912;131.4185671346625;109.59541575780707
86;G06;7560;54.209;46.92;-97.61807291821528;132.64633330272343;110.35299773652532
87;G06;7590;53.985;46.947;-95.25721861293994;131.58036578493576;109.20187193251024
88;G06;7650;53.537;47.008;-97.49840999975838;137.40511687567198;113.47985251864515
89;G06;7740;52.867;47.111;-97.38762107585883;136.48191287074567;111.8812383971242
90;G06;7770;52.644;47.149;-94.98758563320567;132.09431442414555;108.01258505591171
91;G06;7800;52.422;47.187;-97.30917328195343;130.6000563677738;106.52186637740414
92;G06;7830;52.199;47.221;-92.62898187852295;132.3893590008464;107.70623851385348
93;G06;7860;51.977;47.257;-94.89553004779489;131.16159286824117;106.43487562548586
94;G06;7890;51.755;47.294;-94.8502800290647;127.73526866593544;103.38790615702592
95;G06;7920;51.534;47.333;-94.82119823525534;132.23707793700694;106.75568410232103
96;G06;7950;51.313;47.373;-94.7723448536779;131.27580365725683;105.70449725421203
97;G06;7980;51.092;47.414;-94.75162436499589;-2306.1541072837517;-1852.082213663704
98;G06;8010;50.871;47.457;-94.71264153135125;137.14814257379493;109.85431953304871
99;G06;8040;50.65;47.501;-94.67405105048894;-2300.0152764789027;-1837.4066846686972
100;G06;8070;50.43;47.547;-94.60772006496921;138.08086416515502;110.0152187222204
101;G06;8100;50.21;47.594;-94.57160471110684;137.81437227684418;109.50919657409605
102;G06;8130;49.99;47.642;-94.51112955363485;137.11007229897112;108.65615686631573
103;G06;8160;49.771;47.691;-94.45560479198554;140.67915997868252;111.18369043811131
104;G06;8190;49.552;47.742;-94.45314615188634;134.02638053462383;105.6379722129973
105;G06;8220;49.333;47.794;-94.35421446518873;136.17735070761105;107.03977312055784
106;G06;8250;49.114;47.847;-94.2877623984516;136.48191287074567;106.98379302879367
107;G06;8280;48.896;47.902;-94.20096521253424;131.41856717011822;102.73058619417999
108;G06;8310;48.678;47.958;-94.10064483241304;134.02638057007954;104.47817003182699
109;G06;8340;48.46;48.014;-94.0628085297572;135.80616561671835;105.56964008105845
110;G06;8370;48.243;48.072;-93.99385077320626;137.52884525112145;106.60935074709279
111;G06;8400;48.026;48.132;-93.90475931981747;134.69261023767308;104.11643736027995
112;G06;8430;47.809;48.186;-93.82946254493167;129.63878212347942;99.92555159462006
113;G06;8460;47.592;48.242;-93.76645127665478;135.36835752715612;104.04396216886181
114;G06;8490;47.376;48.299;-93.68098190672315;135.11138322527907;103.54939279395334
115;G06;8520;47.16;48.357;-93.58612478913314;-2295.5515375181108;-1754.2464647335476
116;G06;8550;46.944;48.417;-93.51535563629662;138.2236276425607;105.32363098814831
117;G06;8580;46.728;48.477;-93.44171889731074;139.4609113970554;105.95659939617478
118;G06;8610;46.513;48.539;-93.33623627355603;133.36015086703028;101.0256074801282
119;G06;8640;46.298;48.601;-93.2804088975025;133.99782784623383;101.2103805466094
120;G06;8670;46.083;48.665;-93.2041458484095;139.0421384449051;104.70987642647997
121;G06;8700;45.869;48.73;-93.09247510578149;140.97420455538338;105.85046869800655
122;G06;8730;45.655;48.795;-93.05231383101754;130.34308206589674;97.5764626334883
123;G06;8760;45.441;48.862;-92.98887950532165;133.61712516890734;99.72755261321065
124;G06;8790;45.228;48.93;-92.91119751909248;129.7815456008851;96.57396480514626
125;G06;8820;45.014;48.999;-92.84320511490053;-2303.8413384959467;-1709.1477566705348
126;G06;8850;44.802;49.069;-92.76624748863368;-2304.364804650679;-1704.364886218305
127;G06;8880;44.589;49.139;-92.73091574120924;140.26990461296603;103.42986102950877
128;G06;8910;44.377;49.211;-92.64855480800085;134.65453996284927;98.9853198913273
129;G06;8940;44.165;49.284;-92.56791450448462;-2297.1885590164325;-1683.4754724921943
130;G06;8970;43.953;49.357;-92.52265154442372;132.65585088915722;96.91453133767014
131;G06;9000;43.742;49.432;-92.47313241115697;132.95089546585808;96.82878268625394
132;G06;9030;43.531;49.502;-92.44791259407471;131.83734012226853;95.71816501865953
133;G06;9060;43.32;49.573;-92.409290309449;137.2623533628106;99.34410181971647
134;G06;9090;43.109;49.646;-92.34449714402939;134.02638057007954;96.69580127135039
135;G06;9120;42.899;49.719;-92.25148049639942;135.66340210385695;97.5675093126323
136;G06;9150;42.689;49.793;-92.21041311575213;133.06510625487374;95.39461997262187
137;G06;9180;42.479;49.868;-92.1557319870418;133.57905489408353;95.4568762084381
138;G06;9210;42.27;49.944;-92.08680323325392;129.08676320944582;91.9514003105844
139;G06;9240;42.061;50.021;-92.06025503289472;131.17111041921927;93.13536463555788
140;G06;9270;41.852;50.098;-91.97448262309045;131.00931176894602;92.7193457678336
141;G06;9300;41.643;50.177;-91.89320791072421;132.23707793700694;93.28357158927739
142;G06;9330;41.435;50.256;-91.83774179280361;133.88361705721815;94.13732611966056
143;G06;9360;41.227;50.337;-91.69023987375317;134.54984672481172;94.29575044671716
144;G06;9390;41.02;50.418;-91.63187589051493;136.07265750502916;95.05022629547078
145;G06;9420;40.812;50.5;-91.56107535938341;129.67685236284748;90.2824219286085
146;G06;9450;40.605;50.582;-91.4872260989284;135.66340210385695;94.13709978545438
147;G06;9480;40.399;50.666;-91.3824668069207;135.9203764411897;94.00242595079476
148;G06;9510;40.192;50.75;-91.32201983673065;138.08086416515502;95.1764164923071
149;G06;9540;39.986;50.835;-91.23021006569182;133.46484406961216;91.68602526948072
150;G06;9570;39.781;50.921;-91.16713689176176;136.29156153208243;93.31356595324965
151;G06;9600;39.576;51.008;-91.06835415446216;134.83537375053444;92.00496826068994
152;G06;9630;39.37;51.09;-91.02085666978529;131.82782257129043;89.64600787162114
153;G06;9660;39.165;51.174;-90.9683181290594;134.5783994486574;91.20420858919037
154;G06;9690;38.961;51.258;-90.84596043553762;144.91447736144318;97.87375354563225
155;G06;9720;38.756;51.344;-90.77603495109578;137.7096790388066;92.68695427348682
156;G06;9750;38.552;51.429;-90.68745480436468;139.75595597375624;93.73968565172068
157;G06;9780;38.348;51.516;-90.53056471218746;141.49767078102695;94.57873710628645
158;G06;9810;38.145;51.604;-90.45052701375782;131.5708482339577;87.63839489599277
159;G06;9840;37.942;51.692;-90.37580192658774;141.8022329087059;94.1240064296175
160;G06;9870;37.739;51.781;-90.28716129243148;144.7717138485818;95.75814058093864
161;G06;9900;37.536;51.87;-90.19915446437834;141.49767074557124;93.26269811817663
162;G06;9930;37.334;51.961;-90.05485157136603;139.97486003626517;91.93376834527989
163;G06;9960;37.132;52.052;-89.99041966407937;136.18686829404484;89.12892730468309
164;G06;9990;36.93;52.144;-89.9536074638783;137.85244255166796;89.89766574077218
165;G06;10020;36.729;52.236;-89.89608792906016;-2293.7717524360164;-1490.5084582728775
166;G06;10050;36.528;52.329;-89.77288465253588;142.5731558497927;92.31333278837555
167;G06;10080;36.328;52.423;-89.66081981979622;142.43039233693133;91.89072632935437
168;G06;10110;36.127;52.518;-89.59777628683182;141.90692614674344;91.22193634038743
169;G06;10140;35.927;52.613;-89.46989409878398;142.01161938478106;90.95911599338409
170;G06;10170;35.728;52.709;-89.36914874663596;142.1734180350543;90.73346508200655
171;G06;10200;35.528;52.805;-89.26867505606555;143.5439476805209;91.27355805534374
172;G06;10230;35.329;52.898;-89.18673526566832;143.27745582766576;90.77141388511521
173;G06;10260;35.13;52.992;-89.08315239380498;143.5439476805209;90.60652532167965
174;G06;10290;34.931;53.086;-88.95098375338304;135.920376405734;85.47807001782924
175;G06;10320;34.733;53.181;-88.92395136997709;136.18686829404484;85.32989925419581
176;G06;10350;34.535;53.277;-88.77777662870974;137.55739793951145;85.8693298005473
