;svs_x;epoch;ele;azi;PhaseL1-L2;codeP2-P1;Vtec
0;G11;0;20.559;-159.257;-1437294.751;1311235.226;#×ÈÑËÎ!
1;G11;30;20.781;-159.219;-1440392.308;1475222.908;
2;G11;60;21.003;-159.18;-1444792.07;1315708.482;
3;G11;90;21.226;-159.141;-1448073.155;1297910.632;
4;G11;120;21.448;-159.102;-1451087.098;1221674.919;
5;G11;150;21.671;-159.062;-1453691.724;1137254.098;
6;G11;180;21.894;-159.022;-1457395.707;1255462.283;
7;G11;210;22.118;-158.981;-1457867.422;1195691.961;
8;G11;240;22.341;-158.94;-1462926.434;1299338.267;
9;G11;270;22.565;-158.898;-1464189.01;1183414.299;
10;G11;300;22.789;-158.856;-1466849.477;1312758.037;
11;G11;330;23.013;-158.813;-1469394.938;1302003.186;
12;G11;360;23.237;-158.77;-1472430.007;1303430.821;
13;G11;390;23.461;-158.727;-1474021;1368530.98;
14;G11;420;23.686;-158.683;-1477744.3;1410884.153;
15;G11;450;23.91;-158.638;-1479306.314;1304572.929;
16;G11;480;24.135;-158.593;-1482808.051;1308665.483;
17;G11;510;24.36;-158.548;-1483982.783;1172564.272;
18;G11;540;24.586;-158.502;-1486938.765;1301908.01;
19;G11;570;24.811;-158.456;-1490157.36;1247657.877;
20;G11;600;25.037;-158.41;-1492031.792;1205304.703;
21;G11;630;25.263;-158.364;-1495166.471;1410884.154;
22;G11;660;25.49;-158.317;-1497742.415;1288202.713;
23;G11;690;25.717;-158.27;-1500044.273;1293722.902;
24;G11;720;25.944;-158.222;-1503064.849;1410884.154;
26;G11;780;26.398;-158.125;-1506222.676;1438104.396;
28;G11;840;26.854;-158.026;-1510927.814;1278875.497;
29;G11;870;27.082;-157.976;-1512361.533;1540323.067;
30;G11;900;27.31;-157.926;-1514943.813;1246230.242;
31;G11;930;27.538;-157.875;-1516175.288;1228337.216;
32;G11;960;27.766;-157.824;-1518247.733;1470749.651;
33;G11;990;27.995;-157.772;-1520003.53;1289630.348;
34;G11;1020;28.224;-157.72;-1521705.899;1269262.755;
35;G11;1050;28.453;-157.667;-1523241.644;1394513.938;
36;G11;1080;28.682;-157.614;-1525999.299;1275925.052;
37;G11;1110;28.911;-157.561;-1527798.561;1307618.55;
38;G11;1140;29.141;-157.507;-1528573.629;1364438.426;
39;G11;1170;29.37;-157.452;-1531243.14;1378238.898;
40;G11;1200;29.6;-157.398;-1533178.84;1316850.59;
41;G11;1230;29.83;-157.343;-1534647.268;1250322.796;
42;G11;1260;30.061;-157.288;-1536622.51;1378143.723;
43;G11;1290;30.292;-157.232;-1539585.423;1213109.108;
44;G11;1320;30.523;-157.176;-1542155.621;1220152.108;
45;G11;1350;30.754;-157.119;-1543661.477;1186364.745;
46;G11;1380;30.986;-157.062;-1546167.078;1278589.97;
47;G11;1410;31.217;-157.004;-1548366.295;1203877.068;
48;G11;1440;31.449;-156.946;-1550937.397;1166948.908;
49;G11;1470;31.681;-156.888;-1553527.213;1228432.392;
50;G11;1500;31.913;-156.829;-1556166.232;1206827.514;
51;G11;1530;32.145;-156.77;-1558092.871;1157716.868;
52;G11;1560;32.378;-156.71;-1560286.652;1183319.123;
53;G11;1590;32.61;-156.65;-1562970.645;1210539.365;
54;G11;1620;32.843;-156.589;-1565583.4;1469702.718;
55;G11;1650;33.075;-156.528;-1567705.64;1300480.375;
56;G11;1680;33.308;-156.466;-1569962.204;1294865.01;
57;G11;1710;33.541;-156.404;-1571967.322;1407933.708;
58;G11;1740;33.775;-156.342;-1574662.482;1325035.698;
60;G11;1800;34.241;-156.216;-1578727.351;1388993.749;
61;G11;1830;34.476;-156.153;-1580026.427;1307523.375;
62;G11;1860;34.71;-156.089;-1581472.204;1269262.755;
63;G11;1890;34.945;-156.024;-1583506.901;1436581.585;
64;G11;1920;35.18;-155.959;-1584732.625;1334648.441;
65;G11;1950;35.415;-155.893;-1586488.406;1451428.99;
66;G11;1980;35.65;-155.827;-1588960.489;1369958.615;
67;G11;2010;35.885;-155.761;-1589025.577;1172564.272;
68;G11;2040;36.12;-155.694;-1590931.378;1326463.333;
70;G11;2100;36.591;-155.559;-1594349.662;1422114.883;
71;G11;2130;36.827;-155.491;-1596099.704;1194169.15;
72;G11;2160;37.063;-155.422;-1597295.539;1329033.076;
73;G11;2190;37.299;-155.353;-1599322.079;1248799.985;
74;G11;2220;37.535;-155.283;-1600920.286;1236617.499;
75;G11;2250;37.771;-155.214;-1602700.512;1307618.55;
76;G11;2280;38.008;-155.143;-1604644.04;1173706.38;
77;G11;2310;38.244;-155.072;-1606525.386;1231002.135;
78;G11;2340;38.481;-155.001;-1607915.008;1182177.015;
79;G11;2370;38.717;-154.929;-1609858.837;1146581.314;
80;G11;2400;38.954;-154.857;-1611147.034;1072915.345;
81;G11;2430;39.192;-154.784;-1613033.509;1263647.39;
83;G11;2490;39.668;-154.637;-1616700.203;1144011.571;
84;G11;2520;39.906;-154.562;-1618515.137;1259935.539;
85;G11;2550;40.144;-154.487;-1620272.112;1137254.098;
86;G11;2580;40.382;-154.412;-1621407.567;1179607.272;
88;G11;2640;40.859;-154.26;-1624834.28;1368530.98;
89;G11;2670;41.098;-154.183;-1626279.134;1240614.877;
90;G11;2700;41.336;-154.105;-1628292.684;1108606.221;
91;G11;2730;41.575;-154.028;-1629466.169;1212062.176;
92;G11;2760;41.814;-153.949;-1631177.56;1301908.01;
93;G11;2790;42.053;-153.871;-1631877.735;1145439.206;
94;G11;2820;42.292;-153.791;-1633462.647;1284110.159;
95;G11;2850;42.532;-153.712;-1634994.13;1210444.189;
96;G11;2880;42.771;-153.632;-1635749.24;1149531.76;
97;G11;2910;43.01;-153.551;-1637015.089;1195596.785;
98;G11;2940;43.25;-153.47;-1638526.346;1273355.309;
99;G11;2970;43.49;-153.389;-1639628.286;1285632.97;
100;G11;3000;43.729;-153.307;-1640598.918;1270309.687;
101;G11;3030;43.97;-153.224;-1642402.67;1247372.35;
103;G11;3090;44.451;-153.055;-1644451.694;1251464.904;
104;G11;3120;44.692;-152.97;-1645790.587;1158763.8;
105;G11;3150;44.933;-152.885;-1647076.352;1160381.787;
106;G11;3180;45.174;-152.799;-1647916.578;1129068.99;
107;G11;3210;45.415;-152.712;-1649012.475;1321323.847;
108;G11;3240;45.656;-152.625;-1650978.017;1184937.11;
109;G11;3270;45.897;-152.538;-1651619.922;1140965.949;
110;G11;3300;46.139;-152.45;-1652391.02;1181891.488;
111;G11;3330;46.38;-152.361;-1653421.11;1064730.237;
112;G11;3360;46.622;-152.272;-1654171.982;1191980.109;
113;G11;3390;46.863;-152.183;-1655289.608;1146866.841;
114;G11;3420;47.105;-152.092;-1656184.464;1157716.868;
115;G11;3450;47.347;-152.002;-1656874.058;1122025.991;
116;G11;3480;47.589;-151.911;-1658608.07;1205304.703;
117;G11;3510;47.83;-151.819;-1658997.92;1092331.181;
118;G11;3540;48.072;-151.727;-1660052.153;1140965.949;
119;G11;3570;48.314;-151.634;-1661134.759;1070345.601;
120;G11;3600;48.557;-151.541;-1661323.57;1177798.934;
121;G11;3630;48.799;-151.446;-1662682.071;1220152.108;
122;G11;3660;49.042;-151.35;-1663018.186;1097470.668;
124;G11;3720;49.528;-151.157;-1664989.902;1153624.314;
125;G11;3750;49.771;-151.059;-1666504.157;1247657.877;
126;G11;3780;50.014;-150.961;-1667216.079;1157431.34;
127;G11;3810;50.258;-150.862;-1668309.244;1159144.503;
128;G11;3840;50.501;-150.763;-1668588.907;1098993.478;
129;G11;3870;50.744;-150.663;-1669812.774;1152196.679;
130;G11;3900;50.988;-150.562;-1670369.539;1161809.422;
131;G11;3930;51.231;-150.461;-1671344.374;1130211.099;
132;G11;3960;51.475;-150.359;-1672769.878;1066633.75;
133;G11;3990;51.718;-150.257;-1673678;1098993.479;
134;G11;4020;51.962;-150.153;-1674516.091;1054356.089;
135;G11;4050;52.205;-150.05;-1675536.503;1107559.289;
136;G11;4080;52.449;-149.946;-1676573.515;1134303.652;
137;G11;4110;52.693;-149.841;-1677267.317;1148008.949;
138;G11;4140;52.937;-149.735;-1678287.423;1167044.083;
139;G11;4170;53.18;-149.629;-1679483.511;1118314.14;
140;G11;4200;53.424;-149.523;-1680330.955;1093378.114;
141;G11;4230;53.669;-149.413;-1681389.697;1107178.586;
142;G11;4260;53.913;-149.303;-1682007.427;1015714.766;
144;G11;4320;54.402;-149.08;-1683573.115;1135826.463;
145;G11;4350;54.647;-148.967;-1684776.442;1131638.733;
146;G11;4380;54.891;-148.854;-1685662.216;1130211.099;
147;G11;4410;55.136;-148.74;-1686547.387;1103086.032;
148;G11;4440;55.381;-148.625;-1687044.369;1131638.733;
149;G11;4470;55.626;-148.509;-1688293.273;1148008.949;
150;G11;4500;55.87;-148.393;-1688867.529;1088143.452;
151;G11;4530;56.115;-148.276;-1689017.074;1160381.786;
