# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.250      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.500      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.750      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.000      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.250      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.500      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.750      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.000      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.250      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.500      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.750      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  3.000     16.865     -0.330     -0.989      0.021    -0.072      5.384      3.978
  3.250     15.332     -0.218     -0.950      0.021    -0.057      3.690      3.914
  3.500     14.468     -0.133     -0.861      0.024    -0.048      2.075      2.224
  3.750     14.676     -0.024     -0.721      0.020    -0.043      0.318     -1.221
  4.000     14.424     -0.024     -0.683      0.020    -0.060      0.869      0.333
  4.250     14.110     -0.001     -0.664      0.016    -0.071      0.611      2.491
  4.500     14.244      0.026     -0.645      0.011    -0.070     -0.350      2.531
  4.750     15.272      0.058     -0.595      0.004    -0.090     -1.557      1.115
  5.000     16.169      0.084     -0.672     -0.006    -0.085     -2.125      0.852
  5.250     17.815      0.094     -0.770     -0.025    -0.086     -2.562     -0.626
  5.500     19.298      0.090     -0.839     -0.038    -0.091     -2.739     -1.524
  5.750     20.172      0.119     -0.887     -0.043    -0.093     -2.123     -1.229
  6.000     20.720      0.161     -0.901     -0.049    -0.089     -1.522     -0.162
  6.250     21.830      0.198     -0.899     -0.056    -0.094     -0.635     -2.327
  6.500     21.755      0.233     -0.822     -0.058    -0.082     -0.031     -1.748
  6.750     21.160      0.273     -0.788     -0.058    -0.062     -1.078      1.261
  7.000     20.908      0.303     -0.767     -0.058    -0.044     -2.041      2.776
  7.250     21.030      0.314     -0.740     -0.059     0.001     -3.060      2.392
  7.500     21.660      0.310     -0.731     -0.057     0.042     -3.065      0.237
  7.750     23.218      0.201     -0.466     -0.071     0.065     -1.134     -3.642
  8.000     24.198      0.060     -0.397     -0.077     0.046     -0.487     -6.215
  8.250     23.620     -0.068     -0.386     -0.082     0.051      0.764     -2.724
  8.500     21.987     -0.222     -0.321     -0.081     0.072      0.785      2.949
  8.750     21.863     -0.327     -0.452     -0.080     0.068      0.118      3.347
  9.000     22.418     -0.430     -0.539     -0.087     0.064     -0.485      2.703
  9.250     24.076     -0.491     -0.511     -0.113     0.060     -1.221      0.285
  9.500     24.198     -0.385     -0.647     -0.078     0.015     -1.497     -0.431
  9.750     24.673     -0.328     -0.780     -0.063    -0.013     -0.690     -1.882
 10.000     24.826     -0.290     -0.950     -0.050    -0.033      1.170     -3.994
 10.250     23.888     -0.261     -0.958     -0.045    -0.031      2.903     -3.303
 10.500     22.439     -0.233     -0.931     -0.041    -0.027      4.099     -1.637
 10.750     21.352     -0.215     -0.755     -0.036    -0.066      4.990     -1.336
 11.000     19.763     -0.193     -0.547     -0.030    -0.094      5.125      0.159
 11.250     18.258     -0.154     -0.380     -0.024    -0.116      4.467      1.205
 11.500     16.692     -0.078     -0.219     -0.009    -0.134      3.408      1.279
 11.750     14.979     -0.005     -0.094      0.008    -0.130      2.422      0.954
