# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  0.000      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.050      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.100      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.150      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.200      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.250      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.300      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.350      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.400      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.450      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.500      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.550      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.600      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.650      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.700      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.750      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.800      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.850      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.900      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  0.950      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.000      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.050      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.100      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.150      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.200      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.250      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.300      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.350      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.400      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.450      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.500      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.550      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.600      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.650      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.700      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.750      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.800      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.850      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.900      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  1.950      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.000      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.050      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.100      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.150      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.200      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.250      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.300      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.350      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.400      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.450      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.500      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.550      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.600      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.650      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.700      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.750      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.800      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.850      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.900      0.000      0.000      0.000      0.000     0.000      0.000      0.000
  2.950     17.634     -0.379     -1.009      0.023    -0.077      5.953      3.887
  3.000     17.323     -0.355     -0.998      0.022    -0.074      5.697      3.969
  3.050     17.029     -0.332     -0.988      0.020    -0.073      5.381      3.976
  3.100     16.746     -0.310     -0.978      0.019    -0.070      5.033      3.921
  3.150     16.436     -0.288     -0.973      0.019    -0.067      4.694      3.945
  3.200     16.127     -0.266     -0.967      0.018    -0.064      4.342      3.960
  3.250     15.787     -0.242     -0.959      0.019    -0.061      4.026      4.007
  3.300     15.499     -0.220     -0.949      0.020    -0.058      3.687      3.918
  3.350     15.227     -0.201     -0.934      0.021    -0.056      3.382      3.757
  3.400     14.997     -0.185     -0.917      0.022    -0.053      3.064      3.557
  3.450     14.839     -0.169     -0.901      0.023    -0.052      2.727      3.198
  3.500     14.717     -0.152     -0.881      0.023    -0.050      2.412      2.738
  3.550     14.639     -0.134     -0.861      0.023    -0.049      2.069      2.222
  3.600     14.603     -0.117     -0.841      0.023    -0.048      1.720      1.667
  3.650     14.595     -0.098     -0.818      0.023    -0.047      1.359      1.049
  3.700     15.043     -0.041     -0.725      0.017    -0.050      0.609     -0.794
