;id;epoch;svs;Ispb;Vtec;Vtec2;Vtec3
0;182;600;G27;457604.6282158893;480788.4990958232;441426.4165476096;196101.17050189388
1;192;630;G27;395645.2660450432;415690.0562343546;381657.57347168535;169549.20250142735
2;202;660;G27;271536.1906837891;285293.1756351565;261936.26599419836;116363.69377277106
3;212;690;G27;324834.5669277291;341291.8363534194;313350.32473066053;139204.09643223888
4;222;720;G27;301992.4055790242;317292.4102248724;291315.728031599;129415.3523919123
5;232;750;G27;256593.61047462845;269593.55139973044;247521.967648;109960.22385866784
6;242;780;G27;242602.78642694856;254893.9026631704;234025.77695606105;103964.61803900448
7;252;810;G27;324644.2155536101;341091.8411046381;313166.7030629998;139122.52355257436
8;262;840;G27;356147.36247466406;374191.0490038706;343556.08375950134;152622.83278195836
9;272;870;G27;488060.8431111245;512787.7336855391;470805.8785850103;209152.82912103517
10;282;900;G27;448372.58852118335;471088.7315787939;432520.7675471875;192144.88667384296
11;291;930;G27;437141.85886639287;459289.01339078153;421687.09052329545;187332.08738140287
12;301;960;G27;420010.23838669976;441289.44435315154;405161.1435120323;179990.5295790699
13;311;990;G27;388697.44213065074;408390.23095766;374955.3837991476;166571.79292546777
14;321;1020;G27;291427.9062654856;306192.6759663745;281124.7273575523;124888.05840620992
15;329;1050;G27;230134.77337222037;241794.2159168601;221998.55960540756;98621.59525665712
16;339;1080;G27;310748.5673702683;326492.1901787287;299762.3233759023;133167.70424871394
17;348;1110;G27;351103.0523014612;368891.17621498834;338690.11076357035;150461.1520026438
18;357;1140;G27;233656.27361614257;245494.1278330529;225395.5602861191;100130.69345447968
19;367;1170;G27;441710.2914906909;464088.8989890111;426094.01020512974;189289.83634140948
20;375;1200;G27;368996.0782776302;387690.72624774335;355950.54444547626;158129.00132363476
21;384;1230;G27;344155.2280325118;361591.3505657736;331987.9207490106;147483.74227474292
22;392;1260;G27;486823.5593566297;511487.7647547211;469612.3379162268;208622.60547918652
23;401;1290;G27;349960.9440567475;367691.2047223009;337588.3807576063;149971.7147246568
24;410;1320;G27;452560.31768812943;475488.6259344208;436560.4432096565;193939.489570638
25;418;1350;G27;411920.30587303656;432789.6472112493;397357.22349150846;176523.68257318204
26;427;1380;G27;370709.2402901438;389490.6831142543;357603.1391124004;158863.15708867394
27;436;1410;G27;401926.8606818548;422289.8986990951;387717.0878204437;172241.10722647313
28;444;1440;G27;306560.8374942082;322092.29507806164;295722.6470293894;131373.1010480363
29;453;1470;G27;393836.9281681916;413790.101557193;379913.1677999199;168774.26022058527
30;463;1500;G27;386413.22599578026;405990.2883448053;372751.9241292414;165592.91852143512
31;473;1530;G27;378228.11832689313;397390.4941372927;364856.1937879202;162085.285303627
32;483;1560;G27;342156.5387815412;359491.4006398307;330059.8934095844;146627.22711423636
33;493;1590;G27;357289.4707193778;375391.0204965581;344657.8137654654;153112.27005994535
34;503;1620;G27;389839.5503753645;409590.20245034737;376057.1138051116;167061.23020345476
35;513;1650;G27;373850.0374312711;392790.6041603645;360632.8961157686;160209.10937522617
36;522;1680;G27;382986.901970753;402390.3746117833;369446.73479539313;164124.6069913568
37;531;1710;G27;387174.6314922561;406790.2693399303;373486.4107998841;165919.2100400931
38;541;1740;G27;365950.4566462839;384490.8026397637;353012.59810492734;156823.8354009441
39;550;1770;G27;398024.6580442517;418189.99665786006;383952.8441464328;170568.8634212629
40;559;1800;G27;378037.7669527741;397190.4988885114;364672.5721202595;162003.71242396248
41;568;1830;G27;342061.36327176023;359391.4032017001;329968.08274676505;146586.44075037475
42;577;1860;G27;340728.90365292755;357991.4364602315;328682.73107314034;146015.43059272328
43;586;1890;G27;310938.9183898302;326692.1850549898;299945.944701541;133249.27697643713
44;595;1920;G27;344821.4576646496;362291.3337502478;332630.5964148119;147769.24727759798
45;604;1950;G27;370804.41615448176;389590.680924905;357694.95011724165;158903.9436044768
46;614;1980;G27;413347.94100165024;434289.6113908485;398734.3858279526;177135.47909469513
47;623;2010;G27;328546.41783665627;345191.7427733531;316930.94639498886;140794.7672058433
48;632;2040;G27;360715.795098962;378990.9346021001;347963.00344133563;154580.581741965
49;640;2070;G27;398405.3604379326;418589.9867829024;384320.08713973226;170732.00902865062
50;648;2100;G27;383462.7802287719;402890.3625474763;369905.78879353387;164328.53911454737
51;656;2130;G27;380512.3344617636;399790.4367501474;367059.6534578264;163064.15970765965
52;664;2160;G27;406971.17120961467;427589.7718604976;392583.0611583968;174402.78815772905
53;673;2190;G27;400404.0496889032;420689.9367088453;386248.1144791584;171588.52418915718
54;682;2220;G27;443613.8045227664;466088.8507317832;427930.2261976926;190105.56483417185
55;691;2250;G27;367092.5648909976;385690.7741324511;354114.3281108914;157313.27267893107
56;699;2280;G27;398595.7121666085;418789.9824042037;384503.7091494149;170813.5820602564
57;707;2310;G27;458080.5068284652;481288.48740403634;441885.4708877722;196305.1027770258
58;715;2340;G27;358621.93033821054;376790.9872380267;345943.16543909017;153683.28021759685
59;723;2370;G27;372898.2805606763;391790.6279164584;359714.7877774652;159801.24497690366
60;731;2400;G27;392980.3475164918;412890.1234964576;379086.8708084798;168407.182490007
61;739;2430;G27;362333.7812471377;380690.89365796046;349523.78710341844;155273.95099120127
62;747;2460;G27;410397.4952346419;431189.6855935196;395888.250492245;175871.09968780738
63;756;2490;G27;330164.4039848319;346891.7018292134;318491.7300570716;141488.13645507957
64;764;2520;G27;382320.6723386152;401690.391427309;368804.0591295917;163839.1019885017
65;772;2550;G27;376229.4290759226;395290.5442113498;362928.16644849407;161228.77014312043
66;781;2580;G27;380036.4562037447;399290.4488144543;366600.5994596856;162860.22758446904
67;790;2610;G27;354434.20046215045;372391.09213735966;341903.48909257725;151888.67701691922
68;798;2640;G27;344631.10629053065;362091.33850146655;332446.97474715125;147687.6743979335
69;806;2670;G27;352816.21431397484;370691.13308149937;340342.70543049445;151195.30776768294
70;814;2700;G27;328831.9447205562;345491.73546026496;317206.3787254689;140917.1264493694
71;822;2730;G27;333495.5528546352;350391.61849662504;321705.1090701225;142915.6617732376
72;830;2760;G27;354339.02459781244;372291.0943267089;341811.6780877359;151847.89050111632
73;838;2790;G27;380702.68583588256;399990.4319989286;367243.275125487;163145.73258732414
74;846;2820;G27;333210.02561617823;350091.62543719314;321429.6763976205;142793.30237777022
75;854;2850;G27;328260.89095275634;344891.75008644135;316655.5140645088;140672.4079623172
76;862;2880;G27;374992.14567598485;393990.575653052;361734.62612173264;160698.54665321315
77;870;2910;G27;346915.3224254012;364491.28111432126;334650.4344170574;148666.54880196616
78;878;2940;G27;394217.6312709865;414190.0924272756;380280.4114772632;168937.40613185556
79;886;2970;G27;383748.3074672289;403190.3556069082;370181.2214660358;164450.89851001475
80;894;3000;G27;374421.091553628;393390.5899067082;361183.7611187506;160453.82801421965
81;902;3030;G27;449514.6964113401;472288.7026989612;433622.4972111296;192634.32379988863
82;909;3060;G27;383557.9557385529;402990.35998560686;369997.5994563532;164369.32547840898
83;916;3090;G27;406875.9953452767;427489.7740498469;392491.2501535554;174362.00164192612
84;924;3120;G27;350246.4709406474;367991.1974092128;337863.8130880863;150094.0739681829
85;933;3150;G27;362048.25436323776;380390.9009710487;349248.3547729384;155151.59174767518
86;942;3180;G27;384890.4153573856;404390.3267270755;371282.95112997794;164940.33563606045
87;951;3210;G27;324263.51245081524;340691.85023455555;312799.4593856566;138959.37764130408
88;960;3240;G27;365284.227014146;383790.8194552894;352369.92243912595;156538.330398089
89;969;3270;G27;367568.4431490165;386190.76206814416;354573.3821090321;157517.20480212168
