;epoch_h;svs;Ispb;Vtec;Vtec2;Vtec3
1132;1.1;G32;345297.3359226685;362791.32168594084;122071.66222273039;343428.72086705355
1141;1.1083333333333334;G32;363951.7673953133;382390.85271382076;128666.49288251792;361982.2018026472
1156;1.1166666666666667;G32;203675.9369789263;213994.88117903005;72004.78426905052;202573.72192334724
1165;1.125;G32;206340.85550747768;216794.81391692706;72946.90284520216;205224.21894797613
1174;1.1333333333333333;G32;374230.740179509;393190.59465792694;132300.37928467072;372205.54877887224
1183;1.1416666666666666;G32;318267.44540701754;334392.001201767;112515.88717996293;316545.10561945295
1191;1.15;G32;345487.68729678745;362991.31693472207;122138.95642464768;343618.04213347536
1199;1.1583333333333334;G32;227279.50346955;238794.28793018183;80349.26392799716;226049.55508063163
1207;1.1666666666666667;G32;259924.75898987468;273093.4676946219;91890.21773930684;258518.1471587184
1215;1.175;G32;435809.3996021172;457889.0470218331;154070.05003257556;433450.96841613954
1223;1.1833333333333333;G32;325215.26932141;341691.8264784617;114972.12511123579;323455.33060961537
1232;1.1916666666666667;G32;410873.37384721776;431689.6739017327;145254.51108555307;408649.88674654067
1241;1.2;G32;356147.36247466406;374191.04900387063;125907.43110528986;354220.0312899058
1250;1.2083333333333333;G32;336255.6472475245;353291.54904517275;118875.18819571256;334435.9622988894
1259;1.2166666666666666;G32;319790.2560454122;335991.9628194968;113054.24066995605;318059.6753981892
1268;1.225;G32;341680.6605235223;358991.4127041376;120793.07263699229;339831.61751031555
1277;1.2333333333333334;G32;406590.46846137673;427189.7813629351;143740.39173043187;404390.15878100717
1286;1.2416666666666667;G32;360810.970608743;379090.9320402307;127556.13886424564;358858.4017882829
1295;1.25;G32;349485.06544417155;367191.21641408774;123552.13441422035;347593.788023057
1304;1.2583333333333333;G32;386889.1042537992;406490.27628049836;136775.44289742666;384795.4107037744
1313;1.2666666666666666;G32;237939.1786474266;249994.0199993304;84117.73860863935;236651.54423706204
1322;1.275;G32;412110.6572471555;432989.64246003056;145691.92320999765;409880.47444932506
1331;1.2833333333333334;G32;307893.29711304087;323492.2618195303;108848.35373952407;306227.0981863361
1340;1.2916666666666667;G32;287049.8250153066;301592.7856169262;101479.63982036033;285496.4228632107
1349;1.3;G32;389078.1448788887;408790.22145522246;137549.32615680288;386972.60509130615
1357;1.3083333333333333;G32;486442.8569629488;511087.77462967875;171970.30485963484;483810.4171736627
1366;1.3166666666666667;G32;408113.2790997714;428789.7429806649;144278.745220425;405904.72855974344
1375;1.325;G32;454559.0069391;477588.57586036366;160698.52785599433;452099.11016126326
1383;1.3333333333333333;G32;413347.94100165024;434289.6113908485;146129.33545978743;411111.06250474777
1391;1.3416666666666666;G32;482635.8298351267;507087.87002657424;170624.42094663426;480023.9921978647
1399;1.35;G32;393836.9285227486;413790.1019297131;139231.68095404468;391705.63604657503
1408;1.3583333333333334;G32;389173.3207432267;408890.2192658732;137582.97332043413;387067.2659008362
1417;1.3666666666666667;G32;375943.9025465796;394990.5518969581;132906.02710192633;373909.44017666864
1425;1.375;G32;449609.8719211211;472388.7001370918;158948.8788568352;447176.7579395725
1433;1.3833333333333333;G32;455225.23657123785;478288.55904483795;160934.05750003224;452761.73441742046
1441;1.3916666666666666;G32;371280.2944125007;390090.66886059806;131257.31934297056;369271.06967829156
1450;1.4;G32;380607.50997154455;399890.4341882779;134554.7346101917;378547.8099697692
1459;1.4083333333333334;G32;347200.84966385807;364791.27417375316;122744.60424190327;345321.9335312717
1468;1.4166666666666667;G32;343869.70114861184;361291.3578788618;121566.95589636853;342008.81189784734
1477;1.425;G32;327309.13408216153;343891.77384253516;115712.36120698077;325537.8641876171
1486;1.4333333333333333;G32;373088.63228935224;391990.62353775965;131896.6141985122;371069.62153297965
1495;1.4416666666666667;G32;250216.84032803585;262893.7114968594;88458.21394290589;248862.7639817588
1504;1.45;G32;363666.2405114134;382090.860026909;128565.55164231459;361698.22007933364
1513;1.4583333333333333;G32;458270.85784802714;481488.48228029744;162010.76448001846;455790.873974893
1522;1.4666666666666666;G32;403640.0226943684;424089.85556560615;142697.33178873168;401455.6796804264
1531;1.475;G32;332543.79633859737;349391.642625239;117562.95157168842;330744.19848525967
1540;1.4833333333333334;G32;400975.10381126;421289.922455189;141755.21308723485;398805.18230315926
1549;1.4916666666666667;G32;390696.1313816213;410490.1808836029;138121.3268104272;388581.8356795724
1558;1.5;G32;308273.9998612788;323892.25231709273;108982.94214335865;306605.7407191798
1567;1.5083333333333333;G32;329688.525726813;346391.7138935204;116553.53854292909;327904.37948893243
1576;1.5166666666666666;G32;328260.89095275634;344891.75008644135;116048.83221656721;326484.4705197262
1585;1.525;G32;291332.7304011476;306092.67815572384;102993.75917548154;289756.1508287442
1594;1.5333333333333334;G32;322835.87767675857;339191.8864274765;114130.94777528748;321088.8153083001
1603;1.5416666666666667;G32;351864.45744338003;369691.1568375931;124393.31187551386;349960.3036770106
1612;1.55;G32;416488.73849733453;437589.5328094789;147239.6897287501;414234.8632243886
1621;1.5583333333333333;G32;392504.4689039159;412390.13518824446;138760.6215406237;390380.3871816223
1630;1.5666666666666667;G32;264112.4881568207;277493.36205024866;93370.68980545159;262683.21396208357
1639;1.575;G32;343869.70079405484;361291.35750634165;121566.95577102332;342008.8115452091
1648;1.5833333333333333;G32;329688.52608137;346391.71426604054;116553.53866827428;327904.3798415707
1657;1.5916666666666666;G32;386413.22599578026;405990.2883448053;136607.20745530602;384322.107714039
1666;1.6;G32;283052.4472224795;297392.88651008066;100066.46195613287;281520.6773262674
1675;1.6083333333333334;G32;325310.444831191;341791.8239165923;115005.77214952183;323549.9910665071
1684;1.6166666666666667;G32;349294.7140700526;366991.2211653066;123484.84021230307;347404.46675663517
1693;1.625;G32;410397.4955891989;431189.6859660397;145086.27564343245;408176.5837568053
1702;1.6333333333333333;G32;434001.0620798226;455989.0927171915;153430.75530237908;431652.41691408964
1711;1.6416666666666666;G32;383177.25299031497;402590.3694880444;135463.2061480573;381103.6465375063
1720;1.65;G32;305323.55373971345;320792.3261472437;107939.88207631327;303671.26126596075
1729;1.6583333333333334;G32;391362.36101375916;411190.16406807717;138356.85645446513;389244.4599357297
1738;1.6666666666666667;G32;350817.5250630043;368591.18315555644;124023.19382764139;348919.03688800975
1747;1.675;G32;347010.4979351821;364591.27855245187;122677.30991464079;345132.61191221164
1756;1.6833333333333333;G32;312747.2562666818;328592.1397321515;110564.35557505196;311054.78959849686
1765;1.6916666666666667;G32;343488.9984003739;360891.3673812993;121432.36749253394;341630.1693650037
1774;1.7;G32;352816.21431397484;370691.13308149937;124729.78288510031;350906.91000911966
1783;1.7083333333333333;G32;339491.6202529898;356691.4679019336;120019.18950296128;337654.4234754221
1792;1.7166666666666666;G32;293807.29791013704;308692.6160173597;103868.58367506109;292217.3269395896
1801;1.725;G32;303895.9189656568;319292.3623401646;107435.1757499514;302251.35229675454
1810;1.7333333333333334;G32;370709.2402901438;389490.6831142543;131055.43673721868;368703.10587902606
1819;1.7416666666666667;G32;341204.7822655034;358491.4247684446;120624.83719487167;339358.31452058017
1828;1.75;G32;391838.23962633504;411690.1523762903;138525.09202193096;389717.7632781034
1837;1.7583333333333333;G32;346724.9710512822;364291.28586554003;122576.36867443746;344848.63018889807
1846;1.7666666666666666;G32;383748.30711267184;403190.3552343881;135665.08875380916;381671.61033677176
1855;1.775;G32;401450.9820692789;421789.910390882;141923.44852935546;399278.48529289465
1863;1.7833333333333334;G32;345678.0386709064;363191.3121835033;122206.25062656496;343807.3633998972
1871;1.7916666666666667;G32;349294.7140700526;366991.2211653066;123484.84021230307;347404.46675663517
1879;1.8;G32;286098.0681447118;300592.80937302;101143.16881077389;284549.81653110165
1887;1.8083333333333333;G32;372993.4564250143;391890.625727109;131862.96703488094;370974.9607234496
1895;1.8166666666666667;G32;346915.32277995814;364491.2814868414;122643.66300169994;345037.95180795813
1903;1.825;G32;445326.96653528005;467888.80759829417;157434.759501714;442917.029974039
1911;1.8333333333333333;G32;386508.40186011826;406090.286155456;136640.85461893727;384416.76852356904
1919;1.8416666666666666;G32;351674.1060692611;369491.16158881196;124326.01767359658;349770.98241058877
