id;epoch;svs;Ispb;Vtec;Vtec2;Vtec3
12;30;G27;329593.350217032;346291.71645538986;317940.86539611156;141243.41796802738
22;60;G27;253072.1105852632;265893.63985605777;244124.96730931036;108451.1258127866
32;90;G27;298375.730179878;313492.5012430691;287826.91703009006;127865.46798216944
42;120;G27;277817.78496604366;291893.0177273769;267995.7800009347;119055.59834587555
52;150;G27;312652.08075690083;328492.1422940209;301598.53971048706;133983.4328934176
62;180;G27;324739.3907088341;341191.83817024855;313258.51338379725;139163.30976449465
72;210;G27;272868.65030262177;286693.14237662515;263221.61766782304;116934.70393042253
83;240;G27;157896.43912629256;165896.03185632563;152314.1485279386;67664.69266595556
93;270;G27;321217.8911740259;337491.926999096;309861.51338712964;137654.21187055472
103;300;G27;297043.2705610453;312092.5345016005;286541.56535646535;127294.45782451797
113;330;G27;322359.99906418263;338691.8981192633;310963.24305107177;138143.64899660042
123;360;G27;384129.0098609098;403590.3457319506;370548.46445933526;164614.04411740246
132;390;G27;343298.64702625497;360691.3721325181;331161.62341554847;147116.66439222332
141;420;G27;471595.45190901216;495488.14745986316;454922.6068975265;202096.77616961594
149;450;G27;332353.4446099214;349191.6470039376;320603.3790641584;142426.22449525064
158;480;G27;309416.10810599255;325092.22380978015;298476.9720442995;132596.69424300376
167;510;G27;322455.17492852063;338791.89592991397;311055.05405591306;138184.43551240332
175;540;G27;171221.03283272058;179895.69666337123;165167.66287003225;73374.79317888123
184;570;G27;266777.4070399291;280293.2951606658;257345.72498672534;114324.37208504125
193;600;G27;343869.70114861184;361291.3578788618;331712.4884185305;147361.38303121683
201;630;G27;279435.7711142193;293592.9767832372;269556.5636630175;119748.9675951118
209;660;G27;411539.60347935563;432389.65708620695;396989.9804982091;176360.53696579437
217;690;G27;235940.48939645605;247894.07007338747;227599.01961400328;101109.56770657102
225;720;G27;348533.3089281338;366191.24054270174;336211.21842116216;149359.91820314372
233;750;G27;372041.6999089765;390890.64985572296;358888.49078602507;159434.16724632538
241;780;G27;348152.60617989587;365791.2500451393;335843.9750858408;149196.77244381473
249;810;G27;301516.52696644835;316792.4219166593;290856.67369143636;129211.42011678041
257;840;G27;339206.0933690899;356391.4752150218;327213.75841589883;145362.8478592899
265;870;G27;326071.8503276668;342591.8049117172;314543.86505742196;139734.31992214613
273;900;G27;361382.0243765429;379690.9174140543;348605.67876511504;154866.0865928788
282;930;G27;308749.8781192977;324392.2402527858;297834.29603647615;132311.18908820735
292;960;G27;286383.5953831687;300892.802432452;276258.7536775773;122726.37732301268
302;990;G27;331687.21497778356;348491.66381946334;319960.703398357;142140.71949239552
311;1020;G27;361001.32162830496;379290.9269164918;348238.43542979367;154702.94083354977
320;1050;G27;258306.77248714204;271393.50826624146;249174.5623149241;110694.379623707
328;1080;G27;320551.6615418881;336791.9438146218;309218.8377213283;137368.70686769966
337;1110;G27;323216.58042499644;339591.87692503893;311789.54072655574;138510.72703106128
346;1140;G27;304752.4999719136;320192.34077342006;293978.2416996459;130598.15891913553
355;1170;G27;349580.24130850955;367291.2142247385;337221.1374222849;149808.5689653278
364;1200;G27;359288.15961579134;377490.9700499808;346585.8407628696;153968.78506851062
373;1230;G27;350246.4709406474;367991.19740921276;337863.8130880863;150094.0739681829
382;1260;G27;344345.5794066307;361791.3458145548;332171.54241667123;147565.3151544074
391;1290;G27;374896.96981164685;393890.5778424012;361642.8151168913;160657.76013741022
400;1320;G27;276294.973973092;290293.05573712697;266526.80665964936;118403.01530855957
409;1350;G27;381939.9695903773;401290.4009297466;368436.8157942704;163675.9562291727
418;1380;G27;302373.10832726216;317692.40072243486;291682.9713669204;129578.49815124129
427;1410;G27;302753.81072094303;318092.3908474772;292050.2143602198;129741.64375862897
436;1440;G27;375658.37530812266;394690.5588375262;362377.301787534;160984.05165606822
445;1470;G27;307227.06748090306;322792.27863505605;296365.3230372127;131658.60620283269
454;1500;G27;372232.05092853843;391090.64473198407;359072.11211166374;159515.73997404857
462;1530;G27;337778.4578859192;354891.5106629025;325836.5957374328;144751.05118583553
470;1560;G27;258592.29937104197;271693.50095315324;249449.9946454041;110816.7388672331
478;1590;G27;428385.6974297059;450089.2338094454;413240.4955210142;183579.73567654256
486;1620;G27;312842.43213101977;328692.13754280214;301782.1613781477;134065.00577308208
495;1650;G27;387555.334240494;407190.2598374927;373853.65413520543;166082.3557994221
504;1680;G27;281719.98760364676;295992.919768612;271760.02367494564;120727.84215108576
513;1710;G27;278674.3663268575;292792.9965331525;268822.07767641876;119422.67638033643
521;1740;G27;375087.3211857658;394090.57309118245;361826.43678455194;160739.3330170747
529;1770;G27;320361.3098132121;336591.94819332036;309035.2157116456;137287.13383609385
537;1800;G27;349770.5926826285;367491.20947351964;337404.7590899456;149890.1418449923
545;1830;G27;325595.9720696479;342091.8169760242;314084.8110592813;139530.38779895555
553;1860;G27;408684.3332221283;429389.72872700857;394235.6558253209;175136.9439227682
561;1890;G27;292950.71654932323;307792.63721158414;282593.7000147938;125540.64113964325
570;1920;G27;410397.4952346419;431189.6855935196;395888.250492245;175871.09968780738
578;1950;G27;341299.9577752844;358591.42220657517;329233.59607612237;146260.14923171676
586;1980;G27;319980.6074195312;336191.9580682781;308667.9727183463;137123.98822870618
594;2010;G27;333495.55285463517;350391.61849662504;321705.1090701225;142915.6617732376
602;2040;G27;331592.03946800256;348391.66638133273;319868.89273553767;142099.93312853394
610;2070;G27;301897.23006924323;317192.4127867418;291223.91736877966;129374.56602805069
618;2100;G27;376229.4290759226;395290.5442113498;362928.16644849407;161228.77014312043
626;2130;G27;338159.16063415713;355291.501160465;326203.8390727542;144914.19694516453
634;2160;G27;334447.3097252299;351391.5947405312;322623.2174084258;143323.52617156008
642;2190;G27;309701.6346353355;325392.21612417186;298752.40403275756;132719.05333458853
650;2220;G27;323882.8097025773;340291.8597369931;312432.2160503352;138796.23188197508
658;2250;G27;343013.11978779803;360391.3790730862;330886.1907430465;146994.30499675593
666;2280;G27;266872.5825497101;280393.2925987964;257437.5356495447;114365.15844890285
674;2310;G27;396311.49603173806;416390.03979134903;382300.2494795087;169834.70765622373
682;2340;G27;395264.5636513623;415290.06610931235;381290.330478386;169386.05689403968
690;2370;G27;303324.8651978569;318692.376966341;292601.07970522373;129986.36254956377
